Year,State,AgeGroup,ActivityLevel,AvgDistressScore
2015,NSW,18-29,Low,30.5
2015,NSW,18-29,Medium,29.4
2015,NSW,18-29,High,29.6
2015,NSW,30-44,Low,31.6
2015,NSW,30-44,Medium,29.4
2015,NSW,30-44,High,28.9
2015,NSW,45-59,Low,31.8
2015,NSW,45-59,Medium,30.5
2015,NSW,45-59,High,28.7
2015,NSW,60+,Low,30.8
2015,NSW,60+,Medium,29.3
2015,NSW,60+,High,28.8
2015,VIC,18-29,Low,30.2
2015,VIC,18-29,Medium,27.6
2015,VIC,18-29,High,27.3
2015,VIC,30-44,Low,29.5
2015,VIC,30-44,Medium,28.6
2015,VIC,30-44,High,29.4
2015,VIC,45-59,Low,29.3
2015,VIC,45-59,Medium,28.3
2015,VIC,45-59,High,30.7
2015,VIC,60+,Low,30.1
2015,VIC,60+,Medium,29.9
2015,VIC,60+,High,27.9
2015,QLD,18-29,Low,29.5
2015,QLD,18-29,Medium,29.6
2015,QLD,18-29,High,27.8
2015,QLD,30-44,Low,30.5
2015,QLD,30-44,Medium,29.0
2015,QLD,30-44,High,28.8
2015,QLD,45-59,Low,29.6
2015,QLD,45-59,Medium,31.6
2015,QLD,45-59,High,29.2
2015,QLD,60+,Low,29.2
2015,QLD,60+,Medium,30.6
2015,QLD,60+,High,28.1
2015,WA,18-29,Low,30.2
2015,WA,18-29,Medium,27.5
2015,WA,18-29,High,27.7
2015,WA,30-44,Low,30.3
2015,WA,30-44,Medium,30.3
2015,WA,30-44,High,29.3
2015,WA,45-59,Low,30.1
2015,WA,45-59,Medium,29.4
2015,WA,45-59,High,27.7
2015,WA,60+,Low,29.6
2015,WA,60+,Medium,29.3
2015,WA,60+,High,30.4
2015,SA,18-29,Low,30.3
2015,SA,18-29,Medium,27.7
2015,SA,18-29,High,29.3
2015,SA,30-44,Low,29.7
2015,SA,30-44,Medium,28.9
2015,SA,30-44,High,29.7
2015,SA,45-59,Low,31.2
2015,SA,45-59,Medium,30.6
2015,SA,45-59,High,28.4
2015,SA,60+,Low,30.0
2015,SA,60+,Medium,30.1
2015,SA,60+,High,30.3
2015,TAS,18-29,Low,29.5
2015,TAS,18-29,Medium,29.3
2015,TAS,18-29,High,27.9
2015,TAS,30-44,Low,28.9
2015,TAS,30-44,Medium,30.4
2015,TAS,30-44,High,30.5
2015,TAS,45-59,Low,30.1
2015,TAS,45-59,Medium,30.7
2015,TAS,45-59,High,29.6
2015,TAS,60+,Low,29.7
2015,TAS,60+,Medium,30.2
2015,TAS,60+,High,30.8
2016,NSW,18-29,Low,30.2
2016,NSW,18-29,Medium,31.3
2016,NSW,18-29,High,26.6
2016,NSW,30-44,Low,31.1
2016,NSW,30-44,Medium,29.9
2016,NSW,30-44,High,29.0
2016,NSW,45-59,Low,30.5
2016,NSW,45-59,Medium,27.9
2016,NSW,45-59,High,29.2
2016,NSW,60+,Low,30.9
2016,NSW,60+,Medium,31.5
2016,NSW,60+,High,29.0
2016,VIC,18-29,Low,29.4
2016,VIC,18-29,Medium,29.2
2016,VIC,18-29,High,30.1
2016,VIC,30-44,Low,30.6
2016,VIC,30-44,Medium,29.3
2016,VIC,30-44,High,29.8
2016,VIC,45-59,Low,30.5
2016,VIC,45-59,Medium,30.9
2016,VIC,45-59,High,28.7
2016,VIC,60+,Low,30.2
2016,VIC,60+,Medium,29.6
2016,VIC,60+,High,28.0
2016,QLD,18-29,Low,30.5
2016,QLD,18-29,Medium,30.0
2016,QLD,18-29,High,29.2
